diaObjectId,days ago,sherlock,nDiaSources,psfFlux,absMag
313853517420822613,0.2,AGN,1280,3986,
313875415077224471,0.2,AGN,962,7074,
313853533295214686,0.2,AGN,1203,11160,
313875415087710240,0.2,AGN,1218,11177,
313888627201409154,0.2,AGN,988,3527,
313875415092428812,0.2,AGN,297,2544,
313853517426065465,0.2,AGN,1269,5860,
170028510630903956,0.2,NT,1009,1,
313853517434454097,0.2,AGN,1170,3520,
313875415177887756,0.2,AGN,1001,4334,
313875415191519245,0.2,AGN,895,4154,
313888627206651914,0.2,AGN,1068,9229,
313853517439697046,0.2,AGN,1098,11458,
313875415213539330,0.2,AGN,912,5874,
313893021775560722,0.2,AGN,657,188338,
313853517444415517,0.2,AGN,1114,3658,
170028510658691176,0.2,AGN,996,1,
313875415984242701,0.2,AGN,587,4367,
313875416861900822,0.2,AGN,856,9260,
313853517456474155,0.2,AGN,1076,3764,
313875416040865804,0.2,AGN,926,7123,
313853533655924769,0.2,SN,441,2526,-21.1
170028500558807144,0.2,AGN,1073,1,
170028510683332655,0.2,AGN,209,1422,
170028514403156077,0.2,SN,218,1,
314011741926195228,0.2,AGN,204,9626,
313888627222380655,0.2,AGN,857,2118,
170028500564050040,0.2,AGN,919,1,
314003013694914783,0.2,AGN,1098,1,
170028510691196945,0.2,AGN,331,5939,
313985345673232432,0.2,AGN,1114,1,
170028500568244264,0.2,AGN,508,18302,
313985345684242460,0.2,AGN,1118,3583,
170028514435661913,0.2,SN,220,1,
313853533862494220,0.2,AGN,835,4618,
170028511771231245,0.2,AGN,247,1,
170028514531082422,0.2,SN,138,1,
313853517487931399,0.2,AGN,1112,4331,
313888627081347098,0.2,AGN,1003,4313,
313888627081871403,0.2,AGN,156,2974,
314003013849055394,0.2,AGN,1139,1,
313853517536165964,0.2,AGN,1170,3026,
170028510758830213,0.2,AGN,395,1,
170028500585545855,0.2,AGN,1085,1,
313853517549797481,0.2,AGN,1219,3024,
313875416785879046,0.2,AGN,1041,3109,
170028515526705233,0.2,SN,223,1,
170028510777180307,0.2,NT,1107,1,
170028500596031616,0.2,AGN,904,1,
313980947941818398,0.2,AGN,698,4464,
170028500603371669,0.2,AGN,1043,1,
170054948358717489,0.2,SN,166,2413,
170028510922408006,0.2,AGN,375,1,
313998569623257167,0.2,SN,843,14701,-18.1
170028510929224293,0.2,AGN,407,1,
313853517742211179,0.2,AGN,1058,2204,
170028500619624557,0.2,AGN,1029,1,
170094456365121569,0.2,SN,56,16247,-17.2
313875416808423449,0.2,AGN,1132,8070,
170094456400773135,0.2,SN,81,11188,-19.5
313853517830815803,0.2,AGN,304,2071,
313928194441871470,0.2,AGN,1041,1,
313998534777503974,0.2,AGN,231,5444,
170028511030935679,0.2,AGN,1054,1,
313998535398260744,0.2,AGN,1124,3254,
313853517877477466,0.2,AGN,1099,2404,
170270398384963595,0.2,SN,23,14891,-13.0
313871015525482644,0.2,AGN,1115,10124,
313853532989554799,0.2,AGN,1084,2570,
313888627170476185,0.2,AGN,314,5175,
313871015541211137,0.2,AGN,1008,16070,
313972183815684303,0.2,AGN,908,1,
313893021597302819,0.2,AGN,713,32357,
313998570010181785,0.2,AGN,1078,1,
313893021628235840,0.2,AGN,962,1809,
313871016471822370,0.2,AGN,705,6382,
313853533150511259,0.2,AGN,1004,2304,
313853533167288351,0.2,AGN,546,1790,
313853517401423939,0.2,AGN,1315,12638,
313875415024271362,0.2,AGN,913,3182,
313875415046815747,0.2,AGN,1177,13729,
313853533277913169,0.2,AGN,1009,2605,
313875415055204364,0.2,AGN,761,9517,
313875415085613092,0.2,AGN,1082,5119,
313853517425016916,0.2,AGN,1258,8885,
313875415097147399,0.2,AGN,1105,10592,
313871013168808008,0.2,AGN,589,2880,
313853517432881169,0.2,AGN,1282,7376,
313853517434454105,0.2,AGN,1208,6710,
313853533528522846,0.2,AGN,997,1720,
313875415232413716,0.2,AGN,1252,9537,
313980948760756332,0.2,SN,55,2124,-14.0
170028500553039995,0.2,AGN,913,1,
313871013236965412,0.2,SN,1145,5655,-21.5
313875416861900846,0.2,AGN,140,2710,
